Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2009-09-14,500.63,506.28,495.12,502.97,501.68,9284129.5,46526.94
2009-09-11,507.66,509.14,493.59,503.44,502.0,15290654.46,76662.19
2009-09-10,513.54,525.22,500.06,501.92,503.55,17385998.3,88730.61
2009-09-09,486.56,509.89,483.51,509.49,508.47,25627526.58,128419.29
2009-09-08,472.49,491.11,470.23,486.44,486.7,25374721.12,122493.5
2009-09-07,465.45,471.07,463.46,468.88,469.64,11004984.02,51469.04
2009-09-04,454.43,467.56,453.73,464.21,464.55,12361682.54,56916.34
2009-09-03,464.28,465.97,450.99,452.03,452.75,12890463.4,58987.85
2009-09-02,461.7,468.48,459.59,461.23,462.21,11624478.68,53872.96
2009-09-01,474.79,478.82,460.86,465.05,464.48,11080524.14,51990.61
2009-08-31,483.98,483.98,467.8,468.67,470.17,15373414.68,72887.68
2009-08-28,480.7,487.73,474.96,484.92,486.35,10663511.8,51421.7
2009-08-27,476.95,482.81,473.66,480.62,478.9,12515069.98,59910.6
2009-08-26,475.08,479.92,471.61,477.77,478.39,10720044.28,51124.06
2009-08-25,460.81,476.71,458.55,475.07,474.99,13860676.1,64854.87
2009-08-24,459.59,464.49,456.92,461.94,462.94,10791822.96,49778.77
2009-08-21,442.71,453.73,437.92,452.09,452.28,12840097.64,57326.85
2009-08-20,445.52,452.32,442.84,444.35,445.15,10030587.68,44977.14
2009-08-19,454.9,457.22,438.72,442.01,442.2,14207410.92,63339.63
2009-08-18,451.08,458.7,450.25,454.83,455.19,12679980.56,57713.82
2009-08-17,471.08,471.32,451.39,452.09,455.36,14642104.58,67459.39
2009-08-14,475.3,483.98,470.61,475.77,477.52,14262881.5,68069.59
2009-08-13,474.83,479.31,468.27,475.54,474.67,12928295.28,61267.35
2009-08-12,463.1,468.97,455.68,466.62,466.79,14602370.66,67515.94
2009-08-11,467.33,480.24,464.05,467.79,469.06,13391310.64,63265.0
2009-08-10,476.11,477.12,462.64,464.28,466.18,12849957.54,60257.52
2009-08-07,477.53,483.98,466.67,466.7,468.45,17058399.06,80810.8
2009-08-06,479.21,498.28,475.15,480.08,479.94,20969729.44,102237.92
2009-08-05,477.18,488.67,476.38,486.3,486.88,16226012.0,78452.13
2009-08-04,476.71,481.4,469.56,477.39,478.29,16365155.44,78018.77
2009-08-03,461.68,476.24,459.15,475.81,472.96,11676209.16,54530.45
2009-07-31,449.04,463.09,448.16,462.87,458.52,14892129.46,67828.64
2009-07-30,450.21,451.48,442.95,445.69,445.59,13132453.62,58790.67
2009-07-29,445.52,454.43,438.72,451.5,452.65,20327661.88,90790.72
2009-07-28,456.54,459.52,442.14,446.09,447.3,24548701.22,109910.21
